,user id,test group,converted,step1,step2,step3,step4,step5
0,1069124,a,TRUE,1,1,1,1,1
1,1119715,a,TRUE,1,1,1,1,1
2,1144181,a,FALSE,1,1,0,0,0
3,1435133,a,FALSE,1,1,0,0,0
4,1015700,a,FALSE,1,1,1,0,0
5,1137664,a,FALSE,1,1,1,0,0
6,1116205,a,FALSE,1,1,1,0,0
7,1496843,a,FALSE,1,1,1,0,0
8,1448851,a,TRUE,1,1,1,1,1
9,1446284,a,TRUE,1,1,1,1,1
10,1257223,a,TRUE,1,1,1,1,1
11,1637531,a,TRUE,1,1,1,1,1
12,1081965,a,TRUE,1,1,1,1,1
13,1037215,a,TRUE,1,1,1,1,1
14,1535652,a,TRUE,1,1,1,1,1
15,1461774,a,TRUE,1,1,1,1,1
16,1492276,a,TRUE,1,1,1,1,1
17,1118924,a,TRUE,1,1,1,1,1
18,900681,b,TRUE,1,1,1,1,1
19,1053783,a,TRUE,1,1,1,1,1
20,1381767,a,TRUE,1,1,1,1,1
21,1478526,a,TRUE,1,1,1,1,1
22,1436823,a,TRUE,1,1,1,1,1
23,1274572,a,TRUE,1,1,1,1,1
24,1441220,a,TRUE,1,1,1,1,1
25,1025687,a,TRUE,1,1,1,1,1
26,1451900,a,TRUE,1,1,1,1,1
27,1098821,a,TRUE,1,1,1,1,1
28,1333281,a,TRUE,1,1,1,1,1
29,1238323,a,TRUE,1,1,1,1,1
30,1034350,a,TRUE,1,1,1,1,1
31,1175118,a,TRUE,1,1,1,1,1
32,1325185,a,TRUE,1,1,1,1,1
33,1651459,a,TRUE,1,1,1,1,1
34,1196281,a,TRUE,1,1,1,1,1
35,1459497,a,TRUE,1,1,1,1,1
36,1482561,a,TRUE,1,1,1,1,1
37,1067720,a,TRUE,1,1,1,1,1
38,905704,b,TRUE,1,1,1,1,1
39,1486907,a,TRUE,1,1,1,1,1
40,1011246,a,TRUE,1,1,1,1,1
41,1521269,a,TRUE,1,1,1,1,1
42,1580543,a,TRUE,1,1,1,1,1
43,1320295,a,TRUE,1,1,1,1,1
44,1355531,a,TRUE,1,1,1,1,1
45,1076583,a,TRUE,1,1,1,1,1
46,1086831,a,TRUE,1,1,1,1,1
47,1646896,a,TRUE,1,1,1,1,1
48,1381174,a,TRUE,1,1,1,1,1
49,1107193,a,TRUE,1,1,1,1,1
50,1301170,a,TRUE,1,1,1,1,1
51,1317684,a,TRUE,1,1,1,1,1
52,1449190,a,TRUE,1,1,1,1,1
53,1000837,a,TRUE,1,1,1,1,1
54,1194204,a,TRUE,1,1,1,1,1
55,1124531,a,TRUE,1,1,1,1,1
56,1056827,a,TRUE,1,1,1,1,1
57,1077196,a,TRUE,1,1,1,1,1
58,1402121,a,TRUE,1,1,1,1,1
59,1190893,a,TRUE,1,1,1,1,1
60,1608119,a,FALSE,1,1,0,0,0
61,1447573,a,FALSE,1,1,0,0,0
62,1626063,a,FALSE,1,1,0,0,0
63,1565118,a,FALSE,1,1,0,0,0
64,1261130,a,TRUE,1,1,1,1,1
65,1651365,a,TRUE,1,1,1,1,1
66,1004917,a,TRUE,1,1,1,1,1
67,1275159,a,TRUE,1,1,1,1,1
68,904595,b,TRUE,1,1,1,1,1
69,1485052,a,TRUE,1,1,1,1,1
70,1018316,a,TRUE,1,1,1,1,1
71,1455516,a,TRUE,1,1,1,1,1
72,1474691,a,TRUE,1,1,1,1,1
73,1452008,a,TRUE,1,1,1,1,1
74,1595920,a,TRUE,1,1,1,1,1
75,1581977,a,TRUE,1,1,1,1,1
76,1589863,a,TRUE,1,1,1,1,1
77,1097687,a,TRUE,1,1,1,1,1
78,1317758,a,TRUE,1,1,1,1,1
79,1374531,a,TRUE,1,1,1,1,1
80,1556695,a,TRUE,1,1,1,1,1
81,1031558,a,TRUE,1,1,1,1,1
82,1388707,a,TRUE,1,1,1,1,1
83,1243365,a,TRUE,1,1,1,1,1
84,1021129,a,TRUE,1,1,1,1,1
85,1035024,a,TRUE,1,1,1,1,1
86,1283389,a,TRUE,1,1,1,1,1
87,1134874,a,TRUE,1,1,1,1,1
88,1239097,a,TRUE,1,1,1,1,1
89,1214946,a,TRUE,1,1,1,1,1
90,1474276,a,TRUE,1,1,1,1,1
91,1176592,a,TRUE,1,1,1,1,1
92,1650819,a,TRUE,1,1,1,1,1
93,1025362,a,TRUE,1,1,1,1,1
94,1447938,a,TRUE,1,1,1,1,1
95,1383606,a,TRUE,1,1,1,1,1
96,1004431,a,TRUE,1,1,1,1,1
